Source IP,total_packets,total_bytes,packet_size_std,unique_target_ips,unique_target_ports,total_syn_flags,total_ack_flags,total_fin_flags,total_rst_flags,avg_ttl,avg_window_size,iat_mean,iat_std,flow_duration_sec,packets_per_second,bytes_per_second,avg_packet_size,syn_ack_ratio
host_010,1605,2366224,149.24348626081454,1,3,0.0,0.0,0.0,0.0,244.98878504672896,145.00747663551402,0.43143610154601403,9.350709996551016,692.0235068798065,2.31928537693267,3419.282692677339,1474.2828660436137,0.0
host_011,6,900,186.1107197342485,1,1,0.0,0.0,0.0,0.0,245.5,66815.83333333333,60.01042160987854,92.94915112998865,300.0521080493927,0.019996526733324325,2.9994790099986486,150.0,0.0
host_012,4,264,0.0,1,2,0.0,0.0,0.0,0.0,246.0,131.0,433.8224036693573,528.6272675678072,1301.467211008072,0.0030734543030874646,0.20284798400377266,66.0,0.0
host_013,136,75572,622.9612065961632,2,10,0.0,0.0,0.0,0.0,245.83823529411765,66958.98529411765,14.69648902327926,101.6598011621231,1984.0260181427002,0.06854748816616489,38.09022629186333,555.6764705882352,0.0
host_014,8,1519,287.2502331218748,1,1,0.0,0.0,0.0,0.0,243.625,67391.875,0.01644829341343471,0.01661843456513418,0.11513805389404297,69.48180666108954,13192.858039774374,189.875,0.0
host_015,29,10295,502.3376781181587,1,3,0.0,0.0,0.0,0.0,245.41379310344828,67372.03448275862,65.77735735688891,329.37127482581326,1841.7660059928894,0.015745757010194247,5.589743738618958,355.0,0.0
host_016,134,75628,626.7717253082108,2,10,0.0,0.0,0.0,0.0,244.98507462686567,66957.29850746269,14.462139135016535,97.32440351509753,1923.464504957199,0.06966595934297304,39.31863562082362,564.3880597014926,0.0
host_017,9,1573,267.93085758166126,1,1,0.0,0.0,0.0,0.0,246.66666666666666,67470.11111111111,0.027812868356704712,0.03959684594462336,0.2225029468536377,40.4489024854138,7069.569289950656,174.77777777777777,0.0
host_018,96,54422,625.9680079124049,2,7,0.0,0.0,0.0,0.0,245.45833333333334,66959.92708333333,20.247770429912368,152.3564716212849,1923.5381908416748,0.049908029098186854,28.292653745640884,566.8958333333334,0.0
host_019,26,14048,630.7034021935045,2,2,0.0,0.0,0.0,0.0,243.73076923076923,66953.76923076923,24.82935028076172,121.28488240365967,620.733757019043,0.04188591277017075,22.631280869052258,540.3076923076923,0.0
